"
NH Collection Amsterdam Grand Hotel Krasnapolsky
","4.89426165819168,52.3726958970434"
"
Hyatt Regency Amsterdam
","4.911744,52.361798"
"
NH Collection Amsterdam Barbizon Palace
","4.90024566650391,52.376458825201"
"
W Amsterdam
","4.89000590000001,52.3727871"
"
art'otel Amsterdam
","4.89721544086933,52.3776721292375"
"
Sofitel Legend The Grand Amsterdam
","4.8954002559185,52.3711983327514"
"
Kimpton De Witt Amsterdam
","4.8955395,52.3771969"
"
Andaz Amsterdam Prinsengracht - a concept by Hyatt
","4.88283142447472,52.3678574924207"
"
NH Collection Amsterdam Doelen
","4.89572614431381,52.3682186101361"
"
Renaissance Amsterdam Hotel
","4.89436089992523,52.3778162171109"
"
Pulitzer Amsterdam
","4.88328203558922,52.37282362571"
"
Grand Hotel Amrâth Amsterdam
","4.90384921431541,52.3746690999621"
"
Waldorf Astoria Amsterdam
","4.89644229999999,52.364638"
"
De L’Europe Amsterdam – The Leading Hotels of the World
","4.89420533180237,52.3676388550903"
"
Luxury Suites Amsterdam
","4.90312195767206,52.3703663860105"
"
The Dylan Amsterdam
","4.88423824310303,52.3692798369491"
"
Hotel TwentySeven - Small Luxury Hotels of the World
","4.89332549999995,52.3724914"
"
InterContinental Amstel Amsterdam
","4.90546524524689,52.3600415594456"
"
Hotel Seven One Seven
","4.88529235124588,52.3647706752994"
"
Canal House Suites at Sofitel Legend The Grand Amsterdam
","4.89531,52.371132"
